,IP,serverid
10760_22,10760_22,45.0
10764_187,10764_187,77.0
10764_219,10764_219,66.0
10764_59,10764_59,68.0
10789_116,10789_116,11.0
10789_164,10789_164,35.0
10789_180,10789_180,37.0
10789_244,10789_244,52.0
10789_52,10789_52,40.0
10789_68,10789_68,27.0
10789_83,10789_83,44.0
10790_135,10790_135,44.0
10813_16,10813_16,63.0
10813_232,10813_232,48.0
10815_90,10815_90,4.0
10823_207,10823_207,56.0
10823_230,10823_230,9.0
10824_207,10824_207,24.0
10824_64,10824_64,44.0
10838_234,10838_234,29.0
10848_59,10848_59,36.0
10862_111,10862_111,31.0
10863_249,10863_249,3.0
10878_11,10878_11,38.0
10879_121,10879_121,46.0
10879_166,10879_166,32.0
10902_197,10902_197,77.0
10905_19,10905_19,60.0
10906_97,10906_97,1.0
10913_242,10913_242,16.0
10925_16,10925_16,67.0
10925_32,10925_32,70.0
10930_234,10930_234,81.0
10932_213,10932_213,66.0
10932_43,10932_43,70.0
10932_77,10932_77,59.0
10938_103,10938_103,6.0
10938_2,10938_2,64.0
10938_60,10938_60,61.0
10946_139,10946_139,56.0
10946_147,10946_147,50.0
10946_155,10946_155,75.0
10946_16,10946_16,59.0
10952_41,10952_41,81.0
10963_26,10963_26,73.0
10963_34,10963_34,71.0
10970_252,10970_252,25.0
10974_145,10974_145,24.0
10981_41,10981_41,20.0
10987_227,10987_227,77.0
10987_235,10987_235,43.0
10992_178,10992_178,60.0
10996_41,10996_41,56.0
11005_165,11005_165,80.0
11010_152,11010_152,28.0
11010_225,11010_225,28.0
11010_233,11010_233,36.0
11011_95,11011_95,28.0
11020_200,11020_200,34.0
11024_163,11024_163,31.0
11026_211,11026_211,41.0
11037_11,11037_11,46.0
11037_35,11037_35,70.0
11037_37,11037_37,66.0
11038_118,11038_118,7.0
11039_15,11039_15,25.0
11042_39,11042_39,49.0
11045_203,11045_203,29.0
11046_78,11046_78,63.0
11047_220,11047_220,53.0
11048_77,11048_77,21.0
11049_44,11049_44,30.0
11051_237,11051_237,18.0
11053_98,11053_98,50.0
11061_32,11061_32,73.0
11061_99,11061_99,28.0
11063_194,11063_194,30.0
11070_193,11070_193,19.0
11072_161,11072_161,21.0
11077_74,11077_74,72.0
11078_127,11078_127,84.0
11079_160,11079_160,72.0
11081_172,11081_172,29.0
11084_93,11084_93,3.0
11097_62,11097_62,69.0
11116_202,11116_202,84.0
11117_16,11117_16,80.0
11119_87,11119_87,22.0
11120_198,11120_198,35.0
11121_177,11121_177,30.0
11122_109,11122_109,21.0
11123_33,11123_33,28.0
11134_164,11134_164,31.0
11137_89,11137_89,79.0
11151_115,11151_115,58.0
11151_195,11151_195,74.0
11151_240,11151_240,70.0
11151_67,11151_67,75.0
11151_88,11151_88,53.0
11162_227,11162_227,15.0
11163_206,11163_206,56.0
11166_109,11166_109,76.0
11166_245,11166_245,21.0
11166_69,11166_69,75.0
11167_116,11167_116,46.0
11167_148,11167_148,35.0
11167_164,11167_164,53.0
11167_180,11167_180,22.0
11167_241,11167_241,42.0
11167_43,11167_43,54.0
11167_76,11167_76,30.0
11167_9,11167_9,66.0
11189_132,11189_132,62.0
11192_163,11192_163,77.0
11192_171,11192_171,79.0
11192_67,11192_67,38.0
11194_210,11194_210,51.0
11197_56,11197_56,52.0
11224_45,11224_45,56.0
11225_144,11225_144,84.0
11225_34,11225_34,17.0
11227_228,11227_228,81.0
11231_178,11231_178,83.0
11234_66,11234_66,60.0
11240_167,11240_167,74.0
11243_142,11243_142,28.0
11249_50,11249_50,33.0
11253_109,11253_109,40.0
11258_69,11258_69,49.0
11275_44,11275_44,80.0
11278_108,11278_108,31.0
11278_140,11278_140,25.0
11278_164,11278_164,55.0
11278_44,11278_44,78.0
11278_68,11278_68,24.0
11288_117,11288_117,10.0
11297_166,11297_166,11.0
11298_40,11298_40,55.0
11305_56,11305_56,72.0
11305_59,11305_59,49.0
11309_92,11309_92,38.0
11312_222,11312_222,76.0
11312_29,11312_29,33.0
11312_86,11312_86,21.0
11323_101,11323_101,68.0
11323_125,11323_125,58.0
11323_27,11323_27,73.0
11323_99,11323_99,73.0
11324_212,11324_212,40.0
11340_40,11340_40,55.0
11340_99,11340_99,60.0
11357_233,11357_233,82.0
11362_15,11362_15,32.0
11364_11,11364_11,82.0
11364_13,11364_13,70.0
11374_47,11374_47,58.0
11375_16,11375_16,50.0
11379_148,11379_148,45.0
11389_208,11389_208,68.0
11390_247,11390_247,16.0
11396_48,11396_48,6.0
11402_67,11402_67,43.0
11413_65,11413_65,20.0
11425_172,11425_172,57.0
11435_12,11435_12,42.0
11439_203,11439_203,84.0
11441_240,11441_240,32.0
11443_27,11443_27,82.0
11453_45,11453_45,10.0
11459_14,11459_14,23.0
11472_11,11472_11,76.0
11472_16,11472_16,65.0
11472_43,11472_43,60.0
11472_51,11472_51,52.0
11478_72,11478_72,14.0
11498_35,11498_35,24.0
11500_106,11500_106,26.0
11500_209,11500_209,32.0
11502_115,11502_115,39.0
11510_159,11510_159,13.0
11513_244,11513_244,7.0
11513_245,11513_245,23.0
11527_100,11527_100,70.0
11545_4,11545_4,53.0
11547_189,11547_189,17.0
11552_45,11552_45,45.0
11554_149,11554_149,45.0
11560_126,11560_126,56.0
11565_162,11565_162,61.0
11571_230,11571_230,8.0
11576_157,11576_157,12.0
11579_155,11579_155,66.0
11580_53,11580_53,77.0
11581_128,11581_128,30.0
11584_2,11584_2,7.0
11588_86,11588_86,36.0
11593_187,11593_187,75.0
11593_232,11593_232,47.0
11593_99,11593_99,63.0
11605_98,11605_98,5.0
11609_24,11609_24,6.0
11611_79,11611_79,15.0
11619_187,11619_187,65.0
11619_237,11619_237,71.0
11619_3,11619_3,46.0
11619_85,11619_85,66.0
11635_134,11635_134,65.0
11649_117,11649_117,72.0
11649_197,11649_197,37.0
11649_27,11649_27,59.0
11649_8,11649_8,68.0
11649_83,11649_83,45.0
11652_69,11652_69,68.0
11652_75,11652_75,51.0
11655_108,11655_108,27.0
11655_159,11655_159,23.0
11656_184,11656_184,47.0
11662_84,11662_84,3.0
11665_33,11665_33,1.0
11667_98,11667_98,32.0
11674_6,11674_6,67.0
11676_117,11676_117,11.0
11681_180,11681_180,0.0
11683_55,11683_55,14.0
11685_156,11685_156,44.0
11685_199,11685_199,58.0
11685_217,11685_217,32.0
11689_75,11689_75,47.0
11690_205,11690_205,51.0
11690_23,11690_23,58.0
11690_60,11690_60,66.0
11691_119,11691_119,67.0
11693_72,11693_72,75.0
11697_149,11697_149,72.0
11697_156,11697_156,82.0
11697_16,11697_16,83.0
11697_182,11697_182,84.0
11697_226,11697_226,84.0
11697_227,11697_227,84.0
11697_244,11697_244,41.0
11697_32,11697_32,48.0
11697_69,11697_69,62.0
11700_3,11700_3,72.0
11704_145,11704_145,84.0
11712_37,11712_37,18.0
11713_177,11713_177,18.0
11727_8,11727_8,71.0
11729_11,11729_11,29.0
11729_26,11729_26,59.0
11729_3,11729_3,42.0
11729_75,11729_75,63.0
11729_82,11729_82,58.0
11729_91,11729_91,9.0
11733_33,11733_33,7.0
11735_38,11735_38,56.0
11737_96,11737_96,56.0
11745_217,11745_217,41.0
11750_154,11750_154,67.0
11751_67,11751_67,33.0
11767_169,11767_169,31.0
11767_188,11767_188,70.0
11768_185,11768_185,15.0
11768_211,11768_211,41.0
11768_23,11768_23,37.0
11768_83,11768_83,30.0
11770_181,11770_181,15.0
11771_72,11771_72,28.0
11773_187,11773_187,7.0
11774_182,11774_182,2.0
11776_77,11776_77,65.0
11779_254,11779_254,13.0
11781_171,11781_171,26.0
11801_75,11801_75,73.0
11802_44,11802_44,9.0
11802_75,11802_75,55.0
11806_232,11806_232,48.0
11807_157,11807_157,65.0
11808_161,11808_161,4.0
11812_144,11812_144,18.0
11814_18,11814_18,9.0
11815_119,11815_119,48.0
11816_54,11816_54,14.0
11817_133,11817_133,32.0
11820_219,11820_219,29.0
11821_34,11821_34,57.0
11830_238,11830_238,81.0
11831_194,11831_194,73.0
11831_218,11831_218,36.0
11831_219,11831_219,62.0
11834_171,11834_171,17.0
11836_90,11836_90,45.0
11837_219,11837_219,82.0
11839_107,11839_107,75.0
11839_179,11839_179,75.0
11841_160,11841_160,42.0
11841_162,11841_162,9.0
11846_9,11846_9,12.0
11851_4,11851_4,50.0
11853_35,11853_35,39.0
11854_182,11854_182,29.0
11859_139,11859_139,47.0
11859_43,11859_43,34.0
11862_173,11862_173,32.0
11867_170,11867_170,15.0
11867_173,11867_173,31.0
11867_243,11867_243,23.0
11867_252,11867_252,14.0
11869_160,11869_160,65.0
11869_171,11869_171,73.0
11869_35,11869_35,69.0
11869_75,11869_75,62.0
11871_138,11871_138,11.0
11876_210,11876_210,52.0
11883_2,11883_2,22.0
11888_70,11888_70,48.0
